id,grade,semester,unit,difficulty,problem,answer,hint1,hint2,hint3,next_question
gen_0001,4,1,기타,쉬움,정국이 5위입니다. 정국보다 결승선을 먼저 통과한 사람의 수를 찾아보세요.,4명,순위는 몇 번째인지 나타내는 숫자예요,"1등은 앞에 아무도 없고, 2등은 앞에 1명이 있어요",5등일 때 앞에 몇 명이 있는지 세어볼까요?,만약 정국이 7위였다면 앞에 몇 명이 있을까요?
gen_0002,4,1,자연수의 혼합 계산,쉬움,숫자를 10으로 나눈 값은 6입니다. 윤기는 이 숫자에서 15를 빼서 결과를 얻었습니다. 윤기가 얻은 결과는 무엇일까요?,45,먼저 10으로 나눈 값이 6인 숫자를 찾아보세요,10배수를 이용해 원래 숫자를 계산한 후 15를 빼보세요,6 × 10을 계산한 뒤 그 값에서 15를 어떻게 빼야 할지 생각해보세요,"원래 숫자가 60일 때, 여기서 15를 빼면 어떤 계산이 필요할까요?"
gen_0003,5,1,자연수의 혼합 계산,중간,"동주는 숫자 1, 6, 8이 적힌 종이에서 각각 하나씩 골라 세 자리 숫자를 만듭니다. 만들 수 있는 모든 세 자리 숫자 중 두 번째로 작은 숫자와 세 번째로 작은 숫자의 합을 구하시오. (단, 같은 숫자는 중복 사용할 수 없습니다.)",804,세 숫자를 백의 자리부터 차례로 배치해 가능한 모든 조합을 생각해 보세요.,가장 작은 숫자는 백의 자리가 1인 경우 중 가장 작은 수입니다. 나머지 경우도 같은 방식으로 찾아보세요.,"168, 186, 618, 681, 816, 861 중 두 번째와 세 번째 수를 더하면 됩니다.",두 번째로 작은 숫자와 세 번째로 작은 숫자를 더한 값은 얼마일까요?
gen_0004,4,1,자연수의 혼합 계산,중간,어떤 숫자에서 46을 빼고 싶었지만 실수로 59를 빼서 43을 얻었습니다. 올바른 계산으로 얼마를 얻어야 할까요?,56,실수로 뺀 수를 결과에 다시 더해 보세요,원래 숫자를 찾은 후 올바른 계산을 수행해야 합니다,43 + 59로 원래 숫자를 구한 뒤 46을 빼 보세요,원래 숫자를 찾은 후 어떤 계산을 해야 올바른 결과를 얻을 수 있을까요?
gen_0005,4,1,곱셈과 나눗셈,쉬움,진서의 한 스팬의 길이는 약 12센티미터(cm)입니다. 진서가 책장의 짧은 쪽의 길이를 재었을 때 두 스팬 정도였습니다. 책장의 짧은 쪽의 길이는 몇 센티미터(cm)입니까?,24cm,스팬의 길이와 개수를 어떻게 연결해야 할까요?,한 스팬이 12cm라면 두 스팬은 몇 cm일까요?,곱셈식을 세워보세요. (스팬 개수) × (한 스팬 길이),만약 책장의 긴 쪽이 3스팬이라면 길이는 몇 cm일까요?
gen_0006,4,2,자연수의 혼합 계산,쉬움,자연수 A를 9로 나눈 몫은 6이고 나머지는 5입니다. A의 값은 얼마일까요?,59,나눗셈에서 원래 수를 찾는 방법을 떠올려 보세요,몫과 제수를 곱한 후 나머지를 더해야 합니다,6에 9를 곱한 값에 5를 더하면 답이 나옵니다,만약 나머지가 5가 아니라 7이었다면 A의 값은 어떻게 달라질까요?
gen_0007,5,1,규칙 찾기,중간,십각형 안에 대각선을 몇 개나 그릴 수 있나요?,35개,대각선은 꼭짓점을 연결하되 변을 제외한 선이에요.,오각형의 대각선 개수는 5개입니다. 같은 방법으로 풀어보세요.,10개 꼭짓점 중 한 점에서 7개의 대각선이 나옵니다. 전체 계산 시 중복을 고려해야 해요.,만약 십이각형이라면 대각선 개수는 어떻게 될까요?
gen_0008,5,1,자연수의 혼합 계산,중간,"숫자 자석 2, 0, 3, 5, 8에서 4개를 선택하여 일렬로 배열하여 4자리 숫자를 만들 수 있는 가장 큰 숫자와 가장 작은 숫자의 차이는 무엇인가요?",6497,가장 큰 수와 가장 작은 수를 만들 때 0의 위치를 고려해야 합니다.,"가장 큰 수는 0을 제외한 가장 큰 숫자부터, 가장 작은 수는 0이 첫 자리가 되지 않도록 주의하며 만듭니다.","가장 큰 수는 8532, 가장 작은 수는 2035입니다. 이 두 수의 차이를 계산하세요.",가장 큰 수와 가장 작은 수를 만들 때 0을 어떻게 배치해야 할까요?
gen_0009,5,1,약수와 배수,중간,80보다 작은 9의 모든 배수의 합을 구하시오.,324,"9의 배수는 9, 18, 27, ...과 같이 9씩 커지는 수입니다.",80을 9로 나누어 몇 개의 배수가 있는지 먼저 확인해 보세요.,등차수열의 합 공식(n/2)*(첫 항 + 마지막 항)을 활용할 수 있습니다.,80보다 작은 9의 배수는 모두 몇 개일까요?
gen_0010,5,1,비와 비율,중간,"수정은 미국에서 여행에서 돌아와 오늘 은행에서 남은 140달러를 한국 돈으로 158,760원으로 환전했습니다. 오늘 한국 원화와 미국 달러의 환율은 얼마인가요?","1,134원/달러",환전 금액을 비교해 보세요.,원화를 달러로 나누면 환율을 구할 수 있습니다.,"158,760을 140으로 나누어 계산해 보세요.",만약 280달러를 환전한다면 한국 돈으로 얼마를 받을 수 있을까요?
gen_0011,5,1,사다리꼴의 넓이,중간,"평행 사변형을 잘라 사다리꼴을 만들었는데, 아래쪽이 위쪽보다 4센티미터(cm) 더 길었습니다. 위쪽이 12센티미터(cm), 높이가 10센티미터(cm)인 경우 이 사다리꼴의 넓이는 얼마입니까?",140cm²,사다리꼴의 넓이를 구하려면 먼저 평행한 두 변의 길이를 알아야 합니다.,아래쪽 변의 길이는 위쪽 변보다 4cm 더 깁니다. 높이를 어떻게 활용할까요?,넓이 공식 (윗변+아랫변)×높이÷2에 값을 대입해 보세요.,만약 높이가 15cm로 변한다면 사다리꼴의 넓이는 어떻게 달라질까요?
gen_0012,5,1,곱셈과 나눗셈,쉬움,"유란은 너비 9cm, 길이 4cm, 높이 7cm인 선물 상자를 사고 싶습니다. 이 상자의 부피는 몇 입방 센티미터(cm³)인지 구하시오.",252cm³,직육면체 부피 계산 방법을 떠올려 보세요,세 변의 길이를 모두 곱해야 합니다,먼저 9와 4를 곱한 후 그 결과에 7을 곱해보세요,부피 계산 시 왜 세 변의 길이를 모두 곱해야 할까요?
gen_0013,4,1,곱셈과 나눗셈,쉬움,"한 나라에는 총 3개의 섬이 있습니다. 각 섬에는 12척의 배가 있고, 각 배에는 24명의 선원이 있습니다. 이 나라의 모든 섬에서 일하는 선원의 수를 구하시오.",864명,먼저 모든 섬의 배 수를 합쳐보세요.,"배의 총 개수를 구한 후, 각 배에 탄 선원 수를 곱해야 합니다.","3 × 12로 배의 총 개수를 구하고, 그 결과에 24를 곱해보세요.",배의 총 개수는 몇 척일까요?
gen_0014,4,1,기타,쉬움,"지안은 가방에 노트북 3권을 가지고 있고, 도연은 가방에 노트북 5권을 가지고 있으며, 시우는 가방에 노트북 2권을 가지고 있습니다. 두 번째로 많은 노트북을 가지고 있는 사람은 누구일까요?",지안,각 사람이 가진 노트북 수를 먼저 적어보세요,노트북 수가 많은 순서대로 나열해보면 어떨까요?,가장 많은 사람과 가장 적은 사람을 제외한 나머지 사람을 찾아보세요,노트북 수를 비교할 때 어떤 방법을 사용하면 더 쉽게 순서를 정할 수 있을까요?
gen_0015,4,1,곱셈과 나눗셈,쉬움,"농장 A는 6km×9km의 직사각형 모양이고, 농장 B는 8km×8km의 정사각형 모양입니다. 두 농장의 주인이 같은 길이의 나무 판자로 농장 둘레에 울타리를 만들 때, 어느 농장에 더 많은 판자가 필요할까요?",농장 B,직사각형과 정사각형의 둘레 계산 방법을 떠올려 보세요,"농장 A는 가로 6km, 세로 9km인 직사각형이에요",정사각형은 모든 변의 길이가 같아요,두 농장의 둘레 길이를 각각 계산해 볼까요?
gen_0016,4,1,규칙 찾기,쉬움,"태형이는 시속 60킬로미터(km)의 오토바이를 타고 300킬로미터(km) 떨어진 할머니 댁에 가려고 합니다. 태형이가 떠난 지 2시간이 지났을 때, 태형이가 얼마나 더 가야 하는지 구하세요.",180km,태형이가 2시간 동안 얼마나 이동했는지 먼저 생각해 보세요.,속력과 시간을 곱하면 이동 거리를 구할 수 있습니다.,전체 거리에서 이미 이동한 거리를 빼면 남은 거리를 알 수 있습니다.,"태형이가 남은 거리를 같은 속도로 계속 간다면, 할머니 댁에 도착하기까지 몇 시간이 더 필요할까요?"
gen_0017,5,1,자연수의 혼합 계산,중간,32×A×A×A=42592를 만족하는 자연수 A를 구하세요.,11,먼저 32로 나누는 계산을 해보세요.,42592 ÷ 32의 결과를 세제곱근하면 답을 찾을 수 있습니다.,1331은 어떤 수의 세제곱인지 생각해 보세요.,1331이 어떤 수의 세제곱인지 어떻게 알 수 있을까요?
gen_0018,4,1,곱셈과 나눗셈,쉬움,"태형이가 사탕 45개를 가지고 있습니다. 태형이가 친구들에게 사탕 5개씩 줄 계획이라면, 사탕을 받을 수 있는 친구의 최대 인원은 몇 명일까요?",9명,사탕을 똑같이 나누어 주는 상황을 생각해 보세요.,나눗셈으로 문제를 해결할 수 있습니다. 어떤 수를 어떤 수로 나누어야 할까요?,45를 5로 나누면 몇이 나오는지 계산해 보세요.,만약 태형이가 사탕 46개를 가지고 있다면 최대 몇 명의 친구에게 사탕을 줄 수 있을까요?
gen_0019,6,1,규칙 찾기,중간,"정희, 철수, 은수, 민준은 공포 영화를 보러 영화관에 갔습니다. 공포 영화를 볼 수 없는 은수와 민준이가 나란히 앉지 않도록 네 사람이 일렬로 앉는 경우의 수를 구하시오. (단, 좌석은 4개이고 모두 붙어 있습니다.)",12가지,먼저 모든 사람이 자유롭게 앉는 경우의 수를 생각해 보세요.,특정 두 사람이 반드시 붙어 앉는 경우를 계산하는 방법을 떠올려 보세요.,붙어 앉는 경우를 계산할 때 두 사람을 하나의 단위로 묶어 보는 것이 도움이 됩니다.,은수와 민준이가 나란히 앉는 경우의 수를 어떻게 계산했는지 설명해 볼까요?
gen_0020,4,1,규칙 찾기,쉬움,"한국어 워크북과 수학 워크북을 각각 2종류와 4종류로 준비했을 때, 한 권을 선택할 수 있는 경우의 수는 모두 몇 가지인가요?",6가지,각 워크북의 종류 수를 먼저 확인해 보세요,둘 중 하나만 고르는 경우 어떻게 계산할까요?,"예를 들어 사과 2개, 배 3개 중 하나만 고를 때 총 몇 가지인지 생각해 보세요",만약 두 권을 동시에 선택할 수 있다면 경우의 수는 어떻게 달라질까요?
gen_0021,5,1,규칙과 대응,중간,"숫자 1, 3, 6, 7 중에서 서로 다른 세 개의 숫자를 사용하여 만들 수 있는 세 자리 숫자는 모두 몇 개인가요?",24개,선택한 숫자들을 어떻게 배열할 수 있는지 생각해 보세요.,순열 공식을 사용할 수 있는지 확인해 보세요.,"첫 번째 자리 숫자 선택 후 남은 숫자로 두 번째, 세 번째 자리를 채우는 방법을 생각해 보세요.",만약 숫자 0도 포함된다면 경우의 수는 어떻게 달라질까요?
gen_0022,5,1,비례식과 비례배분,중간,1km를 주행하는 데 0.14리터(l)의 휘발유가 필요한 자동차가 시속 93.6km로 2시간 30분 동안 주행했습니다. 휘발유 사용량은 몇 리터였나요?,32.76리터,시간을 시간 단위로 통일한 후 거리를 계산하세요.,거리와 휘발유 사용량의 관계를 비례식으로 표현해 보세요.,234km × 0.14를 계산할 때 소수점 곱셈을 주의하세요.,만약 주행 시간이 3시간이었다면 휘발유 사용량은 어떻게 달라질까요?
gen_0023,5,1,규칙 찾기,중간,"쥐, 소, 호랑이, 토끼, 용, 뱀 중에서 쥐를 맨 앞에, 뱀을 맨 뒤에, 나머지 동물을 그 사이에 일렬로 배치하는 경우의 수를 구하시오.",24가지,고정된 위치를 제외한 나머지 동물의 수를 먼저 세어 보세요.,4개의 동물을 배열하는 방법은 순열 개념을 적용하면 됩니다.,4!을 계산하면 정답을 구할 수 있습니다.,만약 중간에 배치할 동물이 5마리라면 경우의 수는 어떻게 될까요?
gen_0024,4,1,자연수의 혼합 계산,중간,"0, 3, 4, 6, 8 중 두 개로 형성할 수 있는 가장 작은 두 자리 숫자를 특정 숫자로 빼면 7이 됩니다. 이때 특정 숫자는 무엇인가요?",23,두 자리 숫자의 첫 자리는 0이 될 수 없다는 점을 기억하세요.,"가장 작은 두 자리 숫자를 찾은 후, 그 숫자에서 7을 빼면 특정 숫자를 구할 수 있습니다.",30에서 7을 빼면 어떤 숫자가 나오는지 계산해 보세요.,두 자리 숫자의 첫 자리에 0이 올 수 없는 이유는 무엇일까요?
gen_0025,5,1,규칙 찾기,쉬움,면적이 21.12제곱센티미터(cm²)인 정육각형을 모양과 크기가 같은 여섯 조각으로 나눕니다. 한 조각의 면적은 몇 제곱센티미터(cm²)인지 구하시오.,3.52cm²,정육각형을 같은 크기로 나눌 때 전체 면적을 조각 수로 나누면 됩니다.,21.12를 6으로 나누는 계산을 해보세요.,소수점 아래 두 자리까지 정확히 계산하세요.,만약 정육각형을 3등분으로 나눈다면 한 조각의 면적은 얼마일까요?
gen_0026,4,1,자연수의 혼합 계산,중간,23을 빼야 했는데 실수로 어떤 숫자로부터 32를 빼서 25를 얻었습니다. 올바르게 계산하면 얼마가 나오나요?,34,실수로 뺀 수와 결과를 이용해 원래 숫자를 먼저 찾아보세요.,"32를 빼서 25가 나왔으므로, 원래 숫자는 25에 어떤 수를 더해야 할까요?","원래 숫자에서 23을 빼는 것이 목표이므로, 먼저 25 + 32를 계산한 후 그 결과에서 23을 빼보세요.",원래 숫자를 구한 후 어떤 계산을 해야 올바른 결과를 얻을 수 있을까요?
gen_0027,4,1,큰 수,쉬움,"숫자 10, 11, 12, 13, 14가 있습니다. 가장 큰 숫자와 두 번째로 작은 숫자의 합은 얼마입니까?",25,숫자를 순서대로 배열해 보세요,"가장 큰 수와 작은 수를 먼저 찾은 후, 두 번째로 작은 수를 찾아보세요",두 번째로 작은 수는 가장 작은 수(10) 바로 다음 수입니다,두 번째로 큰 숫자와 세 번째로 작은 숫자의 합은 얼마일까요?
gen_0028,4,1,자연수의 혼합 계산,중간,"농장에 닭 42마리와 오리 48마리가 있고, 거위는 닭과 같은 수가 있습니다. 닭과 거위를 합친 수보다 오리가 몇 마리 적은지 구하시오.",36마리,거위 수를 먼저 구해보세요,닭과 거위를 더한 후 오리 수와 비교하세요,84에서 48을 빼는 계산을 해보세요,만약 오리 수가 50마리라면 차이는 어떻게 될까요?
gen_0029,5,1,소수의 나눗셈,중간,14.23을 4.7로 나누어 소수점 둘째 자리까지의 값을 구하세요.,3.03,소수 나눗셈을 쉽게 하려면 분모와 분자에 같은 수를 곱해 정수로 만들어 보세요.,4.7과 14.23에 각각 10을 곱하면 어떤 수가 되나요?,142.3 ÷ 47을 계산한 후 3.026...에서 소수점 둘째 자리까지 반올림하는 방법은?,"계산 결과가 3.026...일 때, 소수점 둘째 자리에서 반올림하면 어떻게 되나요?"
gen_0030,4,2,소수의 나눗셈,중간,떡지의 직사각형 면적은 1.77제곱센티미터(cm²)입니다. 이 떡지의 너비가 3센티미터(cm)라면 길이는 몇 센티미터(cm)입니까?,0.59cm,넓이를 구하려면 어떤 두 값을 곱해야 할까요?,주어진 값으로 공식을 재배열해 보세요.,소수 나눗셈에서 소수점 위치를 어떻게 맞출지 생각해 보세요.,만약 너비가 0.3cm로 바뀐다면 길이는 어떻게 달라질까요?
gen_0031,4,1,자연수의 혼합 계산,중간,숫자를 8로 나누어야 하는데 실수로 숫자에 6을 곱하면 96이 됩니다. 올바른 계산 결과는 무엇인가요?,2,먼저 잘못된 계산에서 원래 숫자를 찾아보세요.,"6을 곱해 96이 되었다면, 원래 숫자는 96을 6으로 나눈 값입니다.","원래 숫자를 구한 후, 그 숫자를 8로 나누면 정답을 얻을 수 있습니다.",원래 숫자를 8로 나누면 어떤 결과가 나올까요?
gen_0032,4,1,자연수의 혼합 계산,쉬움,어떤 숫자에 2를 곱하면 18이 됩니다. 이 숫자에서 4를 뺀 값은 무엇일까요?,5,먼저 2를 곱했을 때 18이 되는 숫자를 생각해 보세요,나눗셈을 이용해 원래 숫자를 찾을 수 있어요,9에서 4를 빼면 어떤 수가 될까요?,만약 4 대신 3을 뺀다면 결과는 어떻게 달라질까요?
gen_0033,4,1,곱셈과 나눗셈,쉬움,한 변의 길이가 12미터(m)인 정팔각형의 둘레를 미터(m) 단위로 구하시오.,96m,정팔각형의 변은 모두 몇 개일까요?,둘레를 구할 때는 어떤 계산을 해야 할까요?,12를 몇 번 더해야 정팔각형의 전체 둘레가 될까요?,"정팔각형의 각 변 길이가 12m일 때, 전체 변의 길이를 모두 더하면 얼마가 될까요?"
gen_0034,4,1,규칙 찾기,쉬움,"학교에서 학원으로 가는 길은 3가지, 학원에서 운동장으로 가는 길은 4가지입니다. 학교에서 학원을 지나 운동장으로 가는 길은 총 몇 가지가 있나요?",12가지,각 구간의 경로 수를 먼저 확인해 보세요.,두 구간의 경로를 연결하는 방법을 생각해 보세요.,곱셈 원리를 적용해 볼 수 있을까요?,"만약 학교에서 운동장으로 바로 가는 길이 5가지 추가된다면, 총 몇 가지 경로로 갈 수 있을까요?"
gen_0035,4,1,곱셈과 나눗셈,쉬움,한 변의 길이가 9센티미터(cm)인 정사각형의 네 변의 길이의 합은 몇 센티미터(cm)입니까?,36cm,정사각형의 모든 변은 길이가 같아요,둘레는 어떻게 구하는지 생각해 보세요,한 변에 4를 곱해 보세요,정사각형이 아니라 직사각형이라면 어떻게 계산해야 할까요?
